drawDate,lotteryType,province,DB,DB_head,DB_tail,specialCodes,G1,G2,G3,G4,G5,G6,G7
2020-01-01,XSMB,"Hà Nội",32905,32,05,9AP|3AP|1AP,86851,69764|91081,72289|81599|94736|57203|69056|10028,5910|0591|1570|0763,0812|7394|4484|2367|8964|9068,487|533|646,58|53|41|29
2020-01-02,XSMB,"Hà Nội",73604,73,04,9AN|6AN|2AN,27909,96677|59182,26419|25056|94576|96614|06210|71718,7486|1604|8369|5441,0329|7801|5812|4287|9782|8338,411|031|776,58|34|88|48
2020-01-03,XSMB,"Hà Nội",19143,19,43,13AM|8AM|14AM,80801,41658|64482,15807|06706|76479|97337|19586|70550,3284|3273|1823|8386,9338|0960|2939|8430|1275|8036,363|587|433,82|89|02|37
2020-01-04,XSMB,"Hà Nội",54949,54,49,13AL|1AL|10AL,08119,18807|83419,96779|17235|12384|84620|04288|97115,9498|6409|8411|2897,7106|3219|7061|3554|6767|3799,886|753|220,47|71|70|07
2020-01-05,XSMB,"Hà Nội",45721,45,21,13AK|7AK|10AK,49581,90193|05073,28749|57956|06164|80064|48288|65170,9855|8994|8995|5266,9974|7212|5754|4959|3908|9573,829|162|636,00|43|47|82
2020-01-06,XSMB,"Hà Nội",14012,14,12,6AH|1AH|5AH,27116,49045|61784,18025|85323|87635|02069|05472|52027,5546|8159|5494|4443,5634|3006|7014|9544|4947|3570,316|638|684,77|89|23|10
2020-01-07,XSMB,"Hà Nội",14954,14,54,2AG|1AG|7AG,86395,65230|44442,44100|23171|92152|34310|85371|33633,1549|0572|5411|1123,9187|2213|5454|1567|9785|8898,469|178|898,16|87|98|28
2020-01-08,XSMB,"Hà Nội",78804,78,04,6AF|3AF|12AF,05932,92923|97549,20552|17351|91202|31504|95158|87664,4192|6308|5803|9572,1903|7483|7493|5256|1405|4405,775|813|497,91|71|86|45
2020-01-09,XSMB,"Hà Nội",91574,91,74,8AE|10AE|1AE,89090,67375|62647,89474|48707|37558|65647|17990|68327,4236|8700|1003|3575,7981|4680|1761|8362|6218|8030,327|914|547,08|94|70|05
2020-01-10,XSMB,"Hà Nội",26396,26,96,14AD|2AD|7AD,07249,62280|65932,53999|82673|38330|80414|92920|24486,5908|3688|5138|7264,1894|4348|5461|9358|0686|4760,131|050|958,96|22|91|41
2020-01-11,XSMB,"Hà Nội",33658,33,58,14AC|11AC|8AC,32909,67989|61821,09815|80307|80281|26090|22437|12380,4151|7277|7224|9694,3891|4778|1030|0006|0244|8385,876|512|594,35|78|12|08
2020-01-12,XSMB,"Hà Nội",90880,90,80,8AB|10AB|4AB,20246,07376|98111,60558|01090|36569|00440|41981|11569,2615|3860|1044|4242,5420|9608|5129|4131|3935|2159,486|938|957,08|24|53|65
2020-01-13,XSMB,"Hà Nội",41244,41,44,12BZ|15BZ|9BZ,61359,02004|72103,38414|14156|27571|65092|88749|28307,9615|7828|4464|3784,1657|0174|1906|1042|6267|9037,807|043|637,11|51|46|20
2020-01-14,XSMB,"Hà Nội",32164,32,64,15BY|2BY|6BY,40635,37076|15567,92691|33281|74665|39526|92296|83870,1990|8996|7469|0883,9658|8317|9144|8111|0488|5748,702|712|628,12|18|07|97
2020-01-15,XSMB,"Hà Nội",26710,26,10,4BX|3BX|11BX,35188,25581|88005,69977|85413|61620|04874|09021|00033,8791|9127|8770|6440,2126|3362|0322|1381|4294|6889,151|333|401,54|24|84|33
2020-01-16,XSMB,"Hà Nội",72782,72,82,10BV|12BV|14BV,22594,39470|47122,93338|58150|78231|16644|36281|68512,5160|5620|1592|3662,4591|6532|0312|9899|2437|1629,189|483|518,93|71|64|19
2020-01-17,XSMB,"Hà Nội",97571,97,71,4BU|6BU|16BU|11BU,47197,47647|17744,47592|26520|30084|79871|81710|50342,9731|0247|2568|7406,0171|9849|8978|7302|5438|0464,646|470|572,74|71|84|28
2020-01-18,XSMB,"Hà Nội",34706,34,06,12BT|9BT|5BT,91118,29837|38146,01080|08089|62709|14042|77255|32218,7951|0481|4730|3337,9871|3345|9998|3635|0850|8174,849|764|801,89|71|59|48
2020-01-19,XSMB,"Hà Nội",70921,70,21,12BS|7BS|1BS,78137,52621|09836,49174|25062|29639|72434|50650|72551,2876|1724|2521|0811,2216|4705|1224|5372|5371|6946,939|228|392,23|11|34|95
2020-01-20,XSMB,"Hà Nội",12850,12,50,13BR|2BR|9BR,03659,26439|17297,27533|78672|59665|65497|54163|38041,9951|0819|5524|9011,6409|2308|9319|9272|0196|2832,148|820|476,13|85|37|44
2020-01-21,XSMB,"Hà Nội",38897,38,97,12BQ|2BQ|14BQ,09947,29502|67025,40848|77158|57065|97513|74163|35801,2195|3772|3854|2571,7240|5872|0635|8119|3443|6493,217|907|387,61|06|55|85
2020-01-22,XSMB,"Hà Nội",96449,96,49,20BP|16BP|17BP|19BP,52583,93321|98092,17331|26817|85451|69594|06675|87955,5529|4843|2949|7470,6176|6348|0911|8642|4495|6078,636|657|898,58|09|30|62
2020-01-23,XSMB,"Hà Nội",16875,16,75,14BN|5BN|9BN,50936,00828|85363,81620|37920|68187|88874|41569|48733,2256|7283|7689|3593,4093|0380|0449|1541|6493|6070,190|797|813,84|71|75|18
2020-01-28,XSMB,"Hà Nội",50940,50,40,4BM|3BM|16BM|18BM|17BM,61595,62673|20963,64633|38451|18368|88126|51387|30959,7681|8313|1540|2748,3113|4529|5433|7102|5246|7745,183|207|117,84|90|81|04
2020-01-29,XSMB,"Hà Nội",80389,80,89,1BL|7BL|2BL|3BL|11BL,25483,88063|96879,63525|80194|84035|38002|16999|03788,9063|4198|3365|5477,0293|2410|0115|3721|0487|2874,295|877|420,13|28|15|82
2020-01-30,XSMB,"Hà Nội",75712,75,12,12BK|15BK|2BK|10BK|14BK,18292,96758|11823,40538|22605|79421|43575|28804|22460,7038|2845|2679|3185,7983|2541|7897|5141|2017|1211,989|352|051,65|23|82|34
2020-01-31,XSMB,"Hà Nội",49715,49,15,3BH|9BH|14BH|7BH|8BH,85264,96066|05684,05012|54869|33836|92715|95769|76899,3638|8476|9949|4375,2339|2488|7443|0122|7183|2751,361|053|051,68|54|29|61
2020-02-01,XSMB,"Hà Nội",72130,72,30,3BG|7BG|4BG,80885,17263|71468,22827|36430|10446|48639|91841|63775,2339|5617|8901|1422,8062|1699|5607|3339|5532|8448,465|525|415,22|71|82|57
2020-02-02,XSMB,"Hà Nội",79434,79,34,3BF|11BF|9BF,49618,79266|18958,69538|62473|83553|39118|45763|77596,7410|7416|7192|9310,2805|0521|3692|4072|9192|6230,581|750|740,40|89|38|11
2020-02-03,XSMB,"Hà Nội",63107,63,07,9BE|12BE|1BE,48878,90850|97357,05925|39211|87578|78449|18199|21479,5188|2373|2791|4644,9407|7549|4211|5099|2525|9737,500|611|009,85|30|97|68
2020-02-04,XSMB,"Hà Nội",44410,44,10,11BD|8BD|10BD,80399,60233|19813,37273|22767|28665|57161|35703|23010,2192|4561|5864|1973,7228|2741|3932|6198|4310|4595,636|041|459,07|79|54|11
2020-02-05,XSMB,"Hà Nội",97615,97,15,7BC|13BC|11BC,16340,89362|29868,78216|32362|57921|95776|49042|09268,7310|2074|8384|4593,2767|0985|2000|2605|5893|7945,386|509|866,94|59|18|97
2020-02-06,XSMB,"Hà Nội",26275,26,75,12BA|4BA|5BA,35468,15859|88339,81900|36763|36696|76233|97346|00817,8776|6377|8509|1558,9296|2986|2325|5333|3052|2149,525|480|012,08|12|00|56
2020-02-07,XSMB,"Hà Nội",14973,14,73,12CZ|14CZ|13CZ,31007,98439|51996,66382|25328|33295|95453|50326|81590,1506|6872|0979|1102,8774|8759|1943|4848|4121|6643,418|419|249,40|71|18|12
2020-02-08,XSMB,"Hà Nội",22191,22,91,11CY|4CY|2CY|19CY,97112,40888|39940,39500|73056|14865|94839|85281|96191,1620|0731|2825|6430,3602|9578|1397|3671|4851|7642,954|016|641,15|59|64|52
2020-02-09,XSMB,"Hà Nội",60347,60,47,14CX|12CX|1CX,72943,52500|63708,29081|28839|14561|09823|02094|44851,7678|5015|8660|1068,0871|8747|8892|8217|4766|6409,373|543|017,04|78|48|87
2020-02-10,XSMB,"Hà Nội",96045,96,45,12CV|13CV|1CV,92206,82719|89221,00378|93384|44460|78077|14462|04857,5402|7559|5196|7398,7441|0578|7326|2101|6102|5076,784|097|225,69|99|64|83
2020-02-11,XSMB,"Hà Nội",07696,07,96,2CU|10CU|6CU,05052,30163|69705,97394|82663|27996|19116|09205|85254,0137|4297|8811|5555,1133|1664|6194|5111|1536|5086,368|494|493,70|03|36|84
2020-02-12,XSMB,"Hà Nội",19747,19,47,8CT|7CT|9CT,36897,52338|58777,48048|58519|57844|18354|30165|42681,1696|8880|0159|6349,8361|8029|2755|9397|3422|0364,368|843|762,64|71|47|49
2020-02-13,XSMB,"Hà Nội",54232,54,32,12CS|8CS|14CS,25908,23623|36836,36173|85434|13354|41469|76130|24489,7613|0931|7469|2485,5822|0856|1896|8077|4113|4624,828|606|006,05|29|76|07
2020-02-14,XSMB,"Hà Nội",51855,51,55,7CR|2CR|11CR,08402,81863|94490,50504|49212|24274|15269|72405|57083,6841|4789|6299|3683,9592|2305|9625|4188|7762|2244,069|488|621,34|68|33|70
2020-02-15,XSMB,"Hà Nội",47417,47,17,10CQ|6CQ|7CQ,56746,02208|90927,42888|58732|05678|39250|46376|08543,4057|1320|5051|8760,5996|4963|9132|4440|9148|8146,948|740|043,41|30|88|99
2020-02-16,XSMB,"Hà Nội",00776,00,76,11CP|10CP|12CP,68932,60349|63294,01367|85984|96456|91023|80589|71089,2223|1433|1393|6940,7978|5073|4795|6977|0954|9081,205|437|904,49|92|75|51
2020-02-17,XSMB,"Hà Nội",99817,99,17,8CN|11CN|5CN,69356,53268|37870,86212|64009|75190|95157|78289|80249,6853|0621|9077|0265,9850|5104|0004|8241|5178|0210,377|170|135,70|42|23|92
2020-02-18,XSMB,"Hà Nội",06616,06,16,13CM|6CM|5CM,32033,10879|99942,63475|76892|07176|13773|23291|52816,7953|6150|7212|0409,7326|8802|2501|6687|3471|8773,270|964|103,48|41|40|59
2020-02-19,XSMB,"Hà Nội",90398,90,98,5CL|1CL|10CL,38353,12735|48565,16557|64873|58369|16733|89160|33499,2676|3211|4182|2239,1410|9893|6515|8217|3450|8057,345|359|475,85|37|52|50
2020-02-20,XSMB,"Hà Nội",22204,22,04,9CK|14CK|2CK,15061,10606|26736,99942|79268|04489|14967|69815|07814,8749|4107|2844|2015,1999|8055|8891|3495|5148|1505,883|194|394,93|31|40|22
2020-02-21,XSMB,"Hà Nội",36089,36,89,12CH|8CH|14CH,26541,33678|81840,88284|23901|70618|26101|96261|59205,6019|0705|1674|8595,8929|7766|5065|5562|6785|3432,174|366|533,57|40|61|67
2020-02-22,XSMB,"Hà Nội",37647,37,47,12CG|7CG|3CG,52140,89553|90068,44299|40219|65973|97734|71363|33287,5186|0315|8723|2476,0514|7691|4034|7789|0370|5295,078|684|757,33|60|62|32
2020-02-23,XSMB,"Hà Nội",36144,36,44,8CF|7CF|9CF,93004,25702|82940,08697|31608|74878|98769|17003|02375,5161|6520|8407|2857,2068|5776|5063|3226|8275|7871,777|765|975,42|73|24|38
2020-02-24,XSMB,"Hà Nội",91609,91,09,13CE|4CE|11CE,82206,26860|61989,51549|14541|31054|96070|20841|13121,4250|7746|8751|8613,2838|1219|1634|6563|9437|4937,611|523|835,31|68|80|65
2020-02-25,XSMB,"Hà Nội",37376,37,76,10CD|14CD|12CD,12891,22279|64999,31411|55239|92987|31305|21887|46023,9693|9579|0168|4861,8140|1306|9418|4642|9004|6377,948|266|172,50|76|24|36
2020-02-26,XSMB,"Hà Nội",23146,23,46,2CB|4CB|10CB,98019,87234|29114,91980|99298|92782|18805|91851|02412,9570|4164|8316|1663,1814|6391|8882|5430|7287|3653,403|810|362,83|96|47|19
2020-02-27,XSMB,"Hà Nội",26422,26,22,6CA|5CA|8CA,29343,35383|77943,62852|93482|53844|55177|79573|40786,3712|0691|5662|2082,3891|9905|7400|6147|7958|6420,194|020|360,52|81|07|06
2020-02-28,XSMB,"Hà Nội",45982,45,82,6DZ|11DZ|12DZ,62271,76182|59955,72241|64855|42396|76780|05407|18088,0834|0924|1415|6482,0609|5070|1146|4157|9139|3659,804|723|789,65|98|27|96
2020-02-29,XSMB,"Hà Nội",80805,80,05,1DY|5DY|13DY,71818,88766|13763,55750|78938|52389|71702|44422|82346,7287|1433|9786|7570,9568|2954|6203|3326|6645|3852,915|810|212,94|10|05|01
2020-03-01,XSMB,"Hà Nội",04635,04,35,12DX|4DX|14DX,24477,92504|48155,91788|96646|01218|09416|92449|38877,3072|3669|3689|7911,2609|0708|1715|5013|7401|9860,062|672|747,18|30|81|19
2020-03-02,XSMB,"Hà Nội",73787,73,87,7DV|9DV|11DV,32978,82365|65300,32078|35556|19862|70756|61815|40242,2323|9382|4812|5049,4577|2820|0337|9518|4758|8860,247|296|506,85|66|74|94
2020-03-03,XSMB,"Hà Nội",38823,38,23,6DU|11DU|15DU,33276,12937|37028,36500|35499|85025|81514|69229|78054,8592|1640|4926|2018,9288|9910|2811|4281|7653|4235,998|658|806,66|16|72|35
2020-03-04,XSMB,"Hà Nội",51223,51,23,11DT|12DT|9DT,77441,02185|05377,96983|92114|30946|32779|10349|83058,7197|0353|4493|7508,9413|6577|6324|2265|2398|4204,159|698|754,50|31|38|61
2020-03-05,XSMB,"Hà Nội",52991,52,91,14DS|9DS|5DS,47359,44551|54484,25666|68705|40379|60476|77838|35907,6198|1793|9390|5253,4866|7097|9363|2380|4177|4853,483|781|539,33|26|05|04
2020-03-06,XSMB,"Hà Nội",78854,78,54,7DR|10DR|6DR,13173,62902|03693,45332|16300|90057|90003|75573|23758,6138|6326|0423|9311,3204|6373|0188|0021|5847|4798,677|363|157,00|83|71|17
2020-03-07,XSMB,"Hà Nội",87368,87,68,12DQ|11DQ|5DQ,73173,27036|54544,77812|59408|72899|82344|73114|19856,5565|2531|8203|5162,1387|1730|3015|3276|7577|7061,910|058|275,06|83|85|12
