drawDate,lotteryType,province,DB,DB_head,DB_tail,specialCodes,G1,G2,G3,G4,G5,G6,G7
1/1/2020,XSMN,Đồng Nai,657749,65,49,,49300,76179|05605,27461|84466|60973|12966|09956|87331|07340,6135,1724|3100|9011,508,7
1/1/2020,XSMN,Cần Thơ,91446,9,46,,46839,01317|57809,68049|94813|46650|54953|93791|69233|30021,1080,7443|8510|1365,288,67
1/1/2020,XSMN,Sóc Trăng,66758,6,58,,57135,72390|25842,13102|08938|93611|09951|92092|42130|39137,5847,0746|6564|3305,470,85
1/2/2020,XSMN,Tây Ninh,967758,96,58,,36253,24034|09786,69364|89046|86092|18058|91985|65107|40840,250,5701|1187|2657,127,70
1/2/2020,XSMN,An Giang,540009,54,9,,51501,67230|98626,14914|41242|21377|68932|74934|97683|88505,1764,2890|5798|4337,322,91
1/2/2020,XSMN,Bình Thuận,252800,25,0,,8161,74021|34040,91699|64153|68253|29905|56496|12725|13063,4163,7896|5905|3780,698,69
1/3/2020,XSMN,Vĩnh Long,185972,18,72,,15698,04343|42353,22342|49776|00116|51642|23297|26239|17600,2385,2660|3122|1265,48,3
1/3/2020,XSMN,Bình Dương,71075,7,75,,40489,61128|87353,91544|27614|79574|42212|41272|25299|47459,2356,6877|1002|0124,682,91
1/3/2020,XSMN,Trà Vinh,582167,58,67,,35754,40598|69241,65125|53775|82740|63458|13837|38622|43874,6803,3645|3885|5120,901,68
1/4/2020,XSMN,TPHCM,830331,83,31,,454,28341|88788,53970|01756|92440|12645|43836|23845|53258,1835,4450|9600|2537,626,10
1/4/2020,XSMN,Long An,85563,8,63,,87394,14712|05110,80646|15806|58392|72515|03123|27783|76112,6240,2943|3958|2873,436,8
1/4/2020,XSMN,Bình Phước,503775,50,75,,466,69689|93436,11456|47691|14635|20647|18824|83098|82212,6237,3179|7713|6594,350,3
1/4/2020,XSMN,Hậu Giang,532472,53,72,,80661,74434|31538,82914|15755|84041|88645|82664|18158|86623,8298,6967|7120|4029,533,84
1/5/2020,XSMN,Tiền Giang,507554,50,54,,13174,78578|69902,23122|83532|62210|47064|38482|58017|90735,7034,1640|3927|6784,859,14
1/5/2020,XSMN,Kiên Giang,772177,77,77,,20203,26941|21745,10657|02674|41658|93279|39113|71588|43306,7498,7532|9532|9426,376,67
1/5/2020,XSMN,Đà Lạt,96736,9,36,,9250,59091|96757,72204|06468|82062|05122|01482|88080|93999,1081,1004|0367|7441,13,20
