drawDate,lotteryType,province,DB,DB_head,DB_tail,G1,G2,G3,G4,G5,G6,G7
2020-01-01,XSMT,"Đà Nẵng",398154,39,54,69142,27019|05544,72595|44068|36686|68921|08744|89855|10780,2375,2725|1763|5509,031,60
2020-01-01,XSMT,"Khánh Hòa",279765,27,65,61368,00416|65695,55632|94435|62520|89162|71817|95961|03191,3430,6625|0305|5174,322,48
2020-01-02,XSMT,"Quảng Bình",678320,67,20,44266,05772|65933,56223|70086|76311|09089|20034|08184|93838,3350,6916|7115|6433,701,17
2020-01-02,XSMT,"Bình Định",279026,27,26,87882,76786|01856,01109|53694|26605|45174|31937|04303|76804,3097,0965|5812|9520,020,50
2020-01-02,XSMT,"Quảng Trị",623700,62,00,42312,31870|70732,98037|58311|15757|65821|98490|91424|24596,2288,6373|4962|4826,218,39
2020-01-03,XSMT,"Gia Lai",426387,42,87,54795,70761|04977,44272|69546|21576|58807|97151|34485|06276,3693,1097|3243|2847,269,08
2020-01-03,XSMT,"Ninh Thuận",271620,27,20,00491,86122|49474,78480|81357|75247|81063|67278|51601|26134,6419,6952|3826|3250,475,33
2020-01-04,XSMT,"Đà Nẵng",563360,56,60,20788,33728|54651,36046|78737|35818|16307|48642|64579|22767,1654,8288|2615|5582,852,04
2020-01-04,XSMT,"Quảng Ngãi",012276,01,76,92577,35018|10259,22561|00101|20404|95112|22489|59442|49431,3368,9855|0219|0462,970,68
2020-01-04,XSMT,"Đắk Nông",069713,06,13,01842,73245|98565,21478|94009|32980|82545|51098|39557|52142,3485,4807|6776|3001,446,82
2020-01-05,XSMT,"Khánh Hòa",417146,41,46,45960,19044|50598,84161|18498|34912|37461|02571|93695|59170,4528,4456|2277|6922,368,30
2020-01-05,XSMT,"Kon Tum",706355,70,55,60825,96808|63816,47336|91521|16757|61106|19075|70234|84476,1471,1658|1604|6818,611,19
2020-01-06,XSMT,"Phú Yên",972427,97,27,95135,19243|85903,72275|31204|49916|03762|07006|76362|29951,4474,0571|5622|3564,164,64
2020-01-06,XSMT,"Huế",247502,24,02,86152,67114|21218,32651|88412|39006|66241|65245|05344|25332,7307,0610|0783|4410,423,93
2020-01-07,XSMT,"Đắk Lắk",862463,86,63,37009,93135|78944,49558|82362|30849|25455|98613|66020|86459,9901,5340|0941|9591,889,36
2020-01-07,XSMT,"Quảng Nam",803906,80,06,38447,50177|31766,48606|23870|03848|98381|27738|51670|31357,8089,8787|2077|8335,079,49
2020-01-08,XSMT,"Đà Nẵng",135695,13,95,23590,19230|32963,61603|19973|57993|33542|44978|35290|64327,8690,1970|3717|6814,712,72
2020-01-08,XSMT,"Khánh Hòa",044140,04,40,61284,46239|22375,22811|59327|65856|71349|69094|43962|63488,0383,7644|0092|5106,286,18
2020-01-09,XSMT,"Quảng Bình",671427,67,27,17063,71239|07030,63899|70470|77989|77236|59215|27761|93825,4395,8866|3932|3535,338,09
2020-01-09,XSMT,"Bình Định",827710,82,10,97973,81557|68275,64917|09599|42299|47136|81287|56851|44082,9746,4779|4276|2085,099,03
2020-01-09,XSMT,"Quảng Trị",992094,99,94,31780,84093|04852,42751|30685|79844|46616|91288|09955|28306,7669,8197|8032|9144,421,41
2020-01-10,XSMT,"Gia Lai",702202,70,02,21622,39692|46390,62350|98157|59388|05859|06066|03977|67138,5327,5832|5512|4191,100,95
2020-01-10,XSMT,"Ninh Thuận",943245,94,45,10466,48091|72913,49758|59094|14476|61873|18246|90304|82819,3804,1588|4111|2366,693,20
2020-01-11,XSMT,"Đà Nẵng",371938,37,38,84035,29013|64869,63607|74569|78785|32043|32203|88434|68863,2485,3507|6640|5783,940,76
2020-01-11,XSMT,"Quảng Ngãi",793831,79,31,11668,35501|13711,56744|94412|77656|85368|21684|36965|45861,8470,2497|8832|7614,886,32
2020-01-11,XSMT,"Đắk Nông",234325,23,25,03559,63854|12318,87055|19507|12812|54949|28720|57928|02244,3810,9231|2274|2052,511,64
2020-01-12,XSMT,"Khánh Hòa",158570,15,70,14839,38491|46869,89982|89942|35046|52268|89944|82097|62882,8275,2654|8654|6923,081,65
2020-01-12,XSMT,"Kon Tum",126760,12,60,91696,78844|82845,80574|11184|33769|45823|48439|74979|91024,7970,8642|5778|0139,947,73
2020-01-13,XSMT,"Phú Yên",172492,17,92,71115,52707|05559,29260|79090|84705|91828|43531|31825|21449,3334,9181|4015|3096,888,48
2020-01-13,XSMT,"Huế",060496,06,96,79341,13153|07509,18590|19186|41338|17028|45085|34121|24277,3043,7709|9901|1735,614,03
2020-01-14,XSMT,"Đắk Lắk",898493,89,93,40235,76280|51754,60648|48994|23237|71080|85841|32536|32649,5148,5165|4906|1624,194,94
2020-01-14,XSMT,"Quảng Nam",059811,05,11,37026,70603|45916,33162|53017|49442|19438|88737|27019|95750,2574,3298|2250|6281,775,13
2020-01-15,XSMT,"Đà Nẵng",277361,27,61,92099,64106|82605,82395|74452|15640|70379|42353|16877|35215,5317,6154|3461|1209,337,37
2020-01-15,XSMT,"Khánh Hòa",862898,86,98,24915,53020|85050,92304|99993|21542|27978|30590|09393|68759,8365,4991|7644|8851,050,29
